"Детские сады / Ясли"#"Детский сад №469"#"40 лет Победы, 41а"#"61.309351550095 55.18070000993"
"Детские сады / Ясли"#"Детский сад №447"#"Калинина, 2а"#"61.405489132555 55.181904680314"
"Детские сады / Ясли"#"Детский сад №428"#"Шуменская, 12"#"61.46166150946 55.175435166188"
"Детские сады / Ясли"#"Детский сад №475, центр развития ребенка"#"Салютная, 17а"#"61.449687672852 55.169624894713"
"Детские сады / Ясли"#"Детский сад №276, комбинированного вида"#"60 лет Октября, 48а"#"61.381348943696 55.262195964087"
"Детские сады / Ясли"#"Детский сад №1, г. Копейск"#"Борьбы, 18"#"61.625334027769 55.113613988131"
"Детские сады / Ясли"#"Детский сад №245, комбинированного вида"#"Пирогова, 9"#"61.512996472211 55.125043501818"
"Детские сады / Ясли"#"Детский сад №4, г. Копейск"#"Ленина, 25"#"61.621189989741 55.106105152283"
"Детские сады / Ясли"#"Детский сад №344"#"Куйбышева, 63"#"61.338124192574 55.197027111443"
"Детские сады / Ясли"#"Детский сад №382, центр развития ребенка"#"Котина, 3а"#"61.455553768748 55.177501030813"
"Детские сады / Ясли"#"Детский сад №351, центр развития ребенка"#"Артиллерийская, 61а"#"61.43022450282 55.179589669742"
"Детские сады / Ясли"#"Детский сад №360"#"Комсомольский проспект, 36Б"#"61.341701367977 55.196563701152"
"Детские сады / Ясли"#"Детский сад №471, комбинированного вида"#"Гагарина (Ленинский), 29а"#"61.439141418806 55.13259110887"
"Детские сады / Ясли"#"Детский сад №472, комбинированного вида"#"Чичерина, 5а"#"61.285925155868 55.189310742565"
"Детские сады / Ясли"#"Детский сад №379, Лесная полянка"#"Солнечная, 22в"#"61.313598417041 55.200677287497"
"Детские сады / Ясли"#"Детский сад №261, центр развития ребенка"#"Тухачевского, 10"#"61.430784760554 55.147292375947"
"Детские сады / Ясли"#"Детский сад №68, комбинированного вида"#"Толбухина, 10а"#"61.346381546047 55.117098960032"
"Детские сады / Ясли"#"Детский сад №44, г. Копейск"#"Борьбы, 25а"#"61.623311759929 55.114043835939"
"Детские сады / Ясли"#"Детский сад №39, Золотой петушок, комбинированного вида"#"Макаренко, 13а"#"61.594535436685 55.11275669166"
